"","x"
"405","MIN"
"406","MIN"
"407","MIN"
"408","MIN"
"409","MIN"
"410","MIN"
"411","MIN"
"412","LAL"
"413","LAL"
"414","LAL"
"415","LAL"
"416","LAL"
"417","LAL"
"418","LAL"
"419","LAL"
"420","LAL"
"421","LAL"
"422","LAL"
"423","LAL"
"424","LAL"
"425","LAL"
"426","LAL"
"427","PHO"
"428","PHO"
"429","PHO"
"430","PHO"
"431","PHO"
"432","PHO"
"433","PHO"
"434","PHO"
"435","PHO"
"436","PHO"
"437","PHO"
"438","PHO"
"439","PHO"
"440","PHO"
"441","PHO"
